"Advanced Events";"Events"
"_EMAIL_NOTIFY_SESEVENT_DISCUSSION_RESPONSE_BODY";"[header]

[sender_title] has posted a reply to the topic ""[object_title]""you replied to in the event ""[object_parent_title]"":

""[message]""

Please click the following link to view it:

http://[host][object_link]

[footer]"

# notify_payment_success
"_EMAIL_NOTIFY_SESEVENT_PAYMENT_SUCCESS_TITLE";"Your Tickets Registration Numbers"
"_EMAIL_NOTIFY_SESEVENT_PAYMENT_SUCCESS_DESCRIPTION";"This email is sent to the member when ticket purchse done successful."
"_EMAIL_NOTIFY_SESEVENT_PAYMENT_SUCCESS_SUBJECT";"Your Tickets for Event "[item_title]""
"_EMAIL_NOTIFY_SESEVENT_PAYMENT_SUCCESS_BODY";"[header]

Your tickets with registration number(s) "[registration_number]"have been booked successfully.

To View full order & print ticket(s), please click here: 
[object_link]

[footer]"

# notify_event_invite
"_EMAIL_NOTIFY_SESEVENT_INVITE_TITLE";"Event Invitation"
"_EMAIL_NOTIFY_SESEVENT_INVITE_DESCRIPTION";"This email is sent to someone when they are invited to an event."
"_EMAIL_NOTIFY_SESEVENT_INVITE_SUBJECT";"You have been invited to join the event [object_title]"
"_EMAIL_NOTIFY_SESEVENT_INVITE_BODY";"[header]

You have been invited to join the event ""[object_title]"". Please click the following link to view it:

http://[host][object_link]

[footer]"

"You have not joined any events yet.";"You have not joined any events yet."
"There are no events yet.";"There are no events yet."
"Why don't you %1$screate one%2$s?";"Why don't you %1$screate one%2$s?"
"There are no past events yet.";"There are no past events yet."
"Date Created";"Date Created"

"Event doesn't exists or not authorized to delete";"Event doesn't exists or not authorized to delete"
"The selected event has been deleted.";"The selected event has been deleted."




# sesevent_ticketpurchased_eventowner
"_EMAIL_SESEVENT_TICKETPURCHASED_EVENTOWNER_TITLE";"Event Ticket Purchased for Event Owner"
"_EMAIL_SESEVENT_TICKETPURCHASED_EVENTOWNER_DESCRIPTION";"This is the email that gets sent to a event owner when someone has been purchased ticket."
"_EMAIL_SESEVENT_TICKETPURCHASED_EVENTOWNER_SUBJECT";"Ticket has been Purchased."
"_EMAIL_SESEVENT_TICKETPURCHASED_EVENTOWNER_BODY";"[header]

[buyer_name] has been purchased ticket from your event: [event_title]

Event Link: http://[host][object_link]

[footer]"


# sesevent_tiketinvoice_buyer
"_EMAIL_SESEVENT_TIKETINVOICE_BUYER_TITLE";"Event Ticket Invoice to Buyer"
"_EMAIL_SESEVENT_TIKETINVOICE_BUYER_DESCRIPTION";"This is the email that gets sent to a buyer when someone has been purchased ticket."
"_EMAIL_SESEVENT_TIKETINVOICE_BUYER_SUBJECT";"Your Invoice for Ticket Purchased"
"_EMAIL_SESEVENT_TIKETINVOICE_BUYER_BODY";"[header]

[invoice_body]

[footer]"


# sesevent_tikets_details
"_EMAIL_SESEVENT_TIKETS_DETAILS_TITLE";"Event Ticket Details to Buyer"
"_EMAIL_SESEVENT_TIKETS_DETAILS_DESCRIPTION";"This is the email that gets sent to a buyer when someone has been purchased ticket."
"_EMAIL_SESEVENT_TIKETS_DETAILS_SUBJECT";"Your ticket to event [event_title]"
"_EMAIL_SESEVENT_TIKETS_DETAILS_BODY";"[header]

[ticket_body]

[footer]"


# sesevent_ticketpayment_requestadmin
"_EMAIL_SESEVENT_TICKETPAYMENT_REQUESTADMIN_TITLE";"Ticket Payment Request By Event Owner"
"_EMAIL_SESEVENT_TICKETPAYMENT_REQUESTADMIN_DESCRIPTION";"This is the email that gets sent to a site admin when event owner send a request for ticket payment."
"_EMAIL_SESEVENT_TICKETPAYMENT_REQUESTADMIN_SUBJECT";"Payment Request by event owner [event_title]"
"_EMAIL_SESEVENT_TICKETPAYMENT_REQUESTADMIN_BODY";"[header]

[event_owner] has been send you payment request for his event: [event_title]

Event Link: http://[host][object_link]

[footer]"



# sesevent_ticketpayment_adminrequestcancel
"_EMAIL_SESEVENT_TICKETPAYMENT_ADMINREQUESTCANCEL_TITLE";"Ticket Payment Request Cancel By Admin"
"_EMAIL_SESEVENT_TICKETPAYMENT_ADMINREQUESTCANCEL_DESCRIPTION";"This is the email that gets sent to a event owner when admin cancel payment request."
"_EMAIL_SESEVENT_TICKETPAYMENT_ADMINREQUESTCANCEL_SUBJECT";"Admin cancel ticket payment request for [event_title]"
"_EMAIL_SESEVENT_TICKETPAYMENT_ADMINREQUESTCANCEL_BODY";"[header]

Site Admin has been cancelled your ticket payment request for event: [event_title]

Event Link: http://[host][object_link]

[footer]"



# sesevent_ticketpayment_adminrequestapproved
"_EMAIL_SESEVENT_TICKETPAYMENT_ADMINREQUESTAPPROVED_TITLE";"Ticket Payment Request Approve By Admin"
"_EMAIL_SESEVENT_TICKETPAYMENT_ADMINREQUESTAPPROVED_DESCRIPTION";"This is the email that gets sent to a event owner when admin approve payment request."
"_EMAIL_SESEVENT_TICKETPAYMENT_ADMINREQUESTAPPROVED_SUBJECT";"Admin approve ticket payment request for [event_title]"
"_EMAIL_SESEVENT_TICKETPAYMENT_ADMINREQUESTAPPROVED_BODY";"[header]

Site Admin has been approved your ticket payment request for event: [event_title]

Event Link: http://[host][object_link]

[footer]"


# sesevent_sponsorshippurchased_eventowner
"_EMAIL_SESEVENT_SPONSORSHIPPURCHASED_EVENTOWNER_TITLE";"Event Sponsorship Purchased for Event Owner"
"_EMAIL_SESEVENT_SPONSORSHIPPURCHASED_EVENTOWNER_DESCRIPTION";"This is the email that gets sent to a event owner when someone has been purchased sponsorship."
"_EMAIL_SESEVENT_SPONSORSHIPPURCHASED_EVENTOWNER_SUBJECT";"Sponsorship has been Purchased."
"_EMAIL_SESEVENT_SPONSORSHIPPURCHASED_EVENTOWNER_BODY";"[header]

[buyer_name] has been purchased sponsorship from your event: [event_title]

Event Link: http://[host][object_link]

[footer]"



# sesevent_sponsorshippayment_requestadmin
"_EMAIL_SESEVENT_SPONSORSHIPPAYMENT_REQUESTADMIN_TITLE";"Sponsorship Payment Request By Event Owner"
"_EMAIL_SESEVENT_SPONSORSHIPPAYMENT_REQUESTADMIN_DESCRIPTION";"This is the email that gets sent to a site admin when event owner send a request for sponsorship payment."
"_EMAIL_SESEVENT_SPONSORSHIPPAYMENT_REQUESTADMIN_SUBJECT";"Payment Request by event owner [event_title]"
"_EMAIL_SESEVENT_SPONSORSHIPPAYMENT_REQUESTADMIN_BODY";"[header]

[event_owner] has been send you payment request for his event: [event_title]

Event Link: http://[host][object_link]

[footer]"



# sesevent_sponsorshippayment_adminrequestcancel
"_EMAIL_SESEVENT_SPONSORSHIPPAYMENT_ADMINREQUESTCANCEL_TITLE";"Sponsorship Payment Request Cancel By Admin"
"_EMAIL_SESEVENT_SPONSORSHIPPAYMENT_ADMINREQUESTCANCEL_DESCRIPTION";"This is the email that gets sent to a event owner when admin cancel payment request."
"_EMAIL_SESEVENT_SPONSORSHIPPAYMENT_ADMINREQUESTCANCEL_SUBJECT";"Admin cancel sponsorship payment request for [event_title]"
"_EMAIL_SESEVENT_SPONSORSHIPPAYMENT_ADMINREQUESTCANCEL_BODY";"[header]

Site Admin has been cancelled your sponsorship payment request for event: [event_title]

Event Link: http://[host][object_link]

[footer]"



# sesevent_sponsorshippayment_adminrequestapproved
"_EMAIL_SESEVENT_SPONSORSHIPPAYMENT_ADMINREQUESTAPPROVED_TITLE";"Sponsorship Payment Request Approve By Admin"
"_EMAIL_SESEVENT_SPONSORSHIPPAYMENT_ADMINREQUESTAPPROVED_DESCRIPTION";"This is the email that gets sent to a event owner when admin approve payment request."
"_EMAIL_SESEVENT_SPONSORSHIPPAYMENT_ADMINREQUESTAPPROVED_SUBJECT";"Admin approve sponsorship payment request for [event_title]"
"_EMAIL_SESEVENT_SPONSORSHIPPAYMENT_ADMINREQUESTAPPROVED_BODY";"[header]

Site Admin has been approved your sponsorship payment request for event: [event_title]

Event Link: http://[host][object_link]

[footer]"


# sesevent_rsvp_change
"_EMAIL_SESEVENT_RSVP_CHANGE_TITLE";"RSVP Change"
"_EMAIL_SESEVENT_RSVP_CHANGE_DESCRIPTION";"This is the email that gets sent to a event owner when someone change rsvp."
"_EMAIL_SESEVENT_RSVP_CHANGE_SUBJECT";"[viewer_name] has change rsvp to [rsvp_changetext]."
"_EMAIL_SESEVENT_RSVP_CHANGE_BODY";"[header]

[viewer_name] has been changed rsvp for event: [event_title]

Event Link: http://[host][object_link]

[footer]"


# sesevent_event_create
"_EMAIL_SESEVENT_EVENT_CREATE_TITLE";"Event Create"
"_EMAIL_SESEVENT_EVENT_CREATE_DESCRIPTION";"This is the email that gets sent when a member create a event."
"_EMAIL_SESEVENT_EVENT_CREATE_SUBJECT";"Thank you creating a event '[event_title]' on social network!"
"_EMAIL_SESEVENT_EVENT_CREATE_BODY";"[header]

Thank you for creating a event our social network. Click the following link and go to you event:

http://[host][object_link]

[footer]"



# sesevent_event_adminapproved
"_EMAIL_SESEVENT_EVENT_ADMINAPPROVED_TITLE";"Event Approved by Admin"
"_EMAIL_SESEVENT_EVENT_ADMINAPPROVED_DESCRIPTION";"This is the email that gets sent when a admin approved event."
"_EMAIL_SESEVENT_EVENT_ADMINAPPROVED_SUBJECT";"Your event '[event_title]' is approved!"
"_EMAIL_SESEVENT_EVENT_ADMINAPPROVED_BODY";"[header]

Thank you for creating a event our social network. Click the following link and go to you event:

http://[host][object_link]

[footer]"


# sesevent_event_admindisapproved
"_EMAIL_SESEVENT_EVENT_ADMINDISAPPROVED_TITLE";"Event Dis-Approved by Admin"
"_EMAIL_SESEVENT_EVENT_ADMINDISAPPROVED_DESCRIPTION";"This is the email that gets sent when a admin dis-approved event."
"_EMAIL_SESEVENT_EVENT_ADMINDISAPPROVED_SUBJECT";"Your event '[event_title]' is dis-approved!"
"_EMAIL_SESEVENT_EVENT_ADMINDISAPPROVED_BODY";"[header]

Thank you for creating a event our social network. Click the following link and go to you event:

http://[host][object_link]

[footer]"

# notify_sesevent_new_event
"_EMAIL_NOTIFY_SESEVENT_NEW_EVENT_TITLE";"New Event"
"_EMAIL_NOTIFY_SESEVENT_NEW_EVENT_DESCRIPTION";"This email is sent to user when they have a new event."
"_EMAIL_NOTIFY_SESEVENT_NEW_EVENT_SUBJECT";"The new event [object_title]"
"_EMAIL_NOTIFY_SESEVENT_NEW_EVENT_BODY";"[header]

Event ""[object_title]"" on [object_date] at [object_time] has been create. Check more here:

http://[host][object_link]

[footer]"

# notify_sesevent_last_minute_event
"_EMAIL_NOTIFY_SESEVENT_LAST_MINUTE_EVENT_TITLE";"Last Minute Event"
"_EMAIL_NOTIFY_SESEVENT_LAST_MINUTE_EVENT_DESCRIPTION";"This email is sent to user when they have a last minute event."
"_EMAIL_NOTIFY_SESEVENT_LAST_MINUTE_EVENT_SUBJECT";"The last minute event [object_title]"
"_EMAIL_NOTIFY_SESEVENT_LAST_MINUTE_EVENT_BODY";"[header]

Event ""[object_title]"" on [object_date] at [object_time] will be started soon. Check more here:

http://[host][object_link]

[footer]"

# notify_sesevent_new_online_event
"_EMAIL_NOTIFY_SESEVENT_NEW_ONLINE_EVENT_TITLE";"New Online Event"
"_EMAIL_NOTIFY_SESEVENT_NEW_ONLINE_EVENT_DESCRIPTION";"This email is sent to user when there is a new online event."
"_EMAIL_NOTIFY_SESEVENT_NEW_ONLINE_EVENT_SUBJECT";"The new online event [object_title]"
"_EMAIL_NOTIFY_SESEVENT_NEW_ONLINE_EVENT_BODY";"[header]

Event ""[object_title]"" on [object_date] at [object_time] has been create. Check more here:

http://[host][object_link]

[footer]"

# notify_sesevent_last_minute_online_event
"_EMAIL_NOTIFY_SESEVENT_LAST_MINUTE_ONLINE_EVENT_TITLE";"Last Minute Online Event"
"_EMAIL_NOTIFY_SESEVENT_LAST_MINUTE_ONLINE_EVENT_DESCRIPTION";"This email is sent to user when there is a last minute online event."
"_EMAIL_NOTIFY_SESEVENT_LAST_MINUTE_ONLINE_EVENT_SUBJECT";"The last minute online event [object_title]"
"_EMAIL_NOTIFY_SESEVENT_LAST_MINUTE_ONLINE_EVENT_BODY";"[header]

Event ""[object_title]"" on [object_date] at [object_time] will be started soon. Check more here:

http://[host][object_link]

[footer]"

# notify_sesevent_organizer_reach_minimum_partis
"_EMAIL_NOTIFY_SESEVENT_ORGANIZER_REACH_MINIMUM_PARTIS_TITLE";"Minimum reach number participants of your organize event"
"_EMAIL_NOTIFY_SESEVENT_ORGANIZER_REACH_MINIMUM_PARTIS_DESCRIPTION";"Your organize event has been reach for minimum number participants."
"_EMAIL_NOTIFY_SESEVENT_ORGANIZER_REACH_MINIMUM_PARTIS_SUBJECT";"minimum reached"
"_EMAIL_NOTIFY_SESEVENT_ORGANIZER_REACH_MINIMUM_PARTIS_BODY";"[header]

Yes! Your minimum number of participants has been reached for ""[object_title]"".

Nice! The minimum number of participants that you have entered for your event has been reached.
As soon as your event is full, you will receive another message.

Have Lots of fun!

Click the following link and go to your event:

http://[host][object_link]

[footer]"

# notify_sesevent_organizer_reach_maximum_partis
"_EMAIL_NOTIFY_SESEVENT_ORGANIZER_REACH_MAXIMUM_PARTIS_TITLE";"Maximum reach number participants of your organize event"
"_EMAIL_NOTIFY_SESEVENT_ORGANIZER_REACH_MAXIMUM_PARTIS_DESCRIPTION";"Your organize event has been reach for maximum number participants."
"_EMAIL_NOTIFY_SESEVENT_ORGANIZER_REACH_MAXIMUM_PARTIS_SUBJECT";"maximum reached"
"_EMAIL_NOTIFY_SESEVENT_ORGANIZER_REACH_MAXIMUM_PARTIS_BODY";"[header]

Yes! Your maximum number of participants has been reached for ""[object_title]"".

Nice! The minimum number of participants that you have entered for your event has been reached.
Member can apply now for the waiting list!

Have Lots of fun!

Click the following link and go to your event:

http://[host][object_link]

[footer]"

# notify_sesevent_joined_reach_minimum_partis
"_EMAIL_NOTIFY_SESEVENT_JOINED_REACH_MINIMUM_PARTIS_TITLE";"Minimum reach number participants of your joined event"
"_EMAIL_NOTIFY_SESEVENT_JOINED_REACH_MINIMUM_PARTIS_DESCRIPTION";"Your joined event has been reach for minimum number participants."
"_EMAIL_NOTIFY_SESEVENT_JOINED_REACH_MINIMUM_PARTIS_SUBJECT";"minimum reached"
"_EMAIL_NOTIFY_SESEVENT_JOINED_REACH_MINIMUM_PARTIS_BODY";"[header]

Hi ""[recipient_title]"",

You are going to ""[object_title]"" on [object_date] at [object_time]
Yes! The minimum number of participants has been reached! For ""[object_title]"".

Click the following link and go to your event:

http://[host][object_link]

[footer]"

# notify_sesevent_joined_reach_maximum_partis
"_EMAIL_NOTIFY_SESEVENT_JOINED_REACH_MAXIMUM_PARTIS_TITLE";"Maximum reach number participants of your joined event"
"_EMAIL_NOTIFY_SESEVENT_JOINED_REACH_MAXIMUM_PARTIS_DESCRIPTION";"Your joined event has been reach for maximum number participants."
"_EMAIL_NOTIFY_SESEVENT_JOINED_REACH_MAXIMUM_PARTIS_SUBJECT";"maximum reached"
"_EMAIL_NOTIFY_SESEVENT_JOINED_REACH_MAXIMUM_PARTIS_BODY";"[header]

Hi ""[recipient_title]"",

You are going to ""[object_title]"" on [object_date] at [object_time]
The event is full and Members can participate for the waiting list.

Are you still going?

You can Leave the Event so that a spot becomes available again.

Click the following link and go to your event:

http://[host][object_link]

[footer]"


# notify_sesevent_organizer_remind
"_EMAIL_NOTIFY_SESEVENT_ORGANIZER_REMIND_TITLE";"Reminder event for host/ admin (organizers)"
"_EMAIL_NOTIFY_SESEVENT_ORGANIZER_REMIND_DESCRIPTION";"reminder event for host/ admin (organizers)"
"_EMAIL_NOTIFY_SESEVENT_ORGANIZER_REMIND_SUBJECT";"reminder event for host/admin (organizers)"
"_EMAIL_NOTIFY_SESEVENT_ORGANIZER_REMIND_BODY";"[header]

Hi [recipient_title], Hello User, your event is about to start.
Please be there on time, the participant depends on you as their Host.
Some of them are new, please introduce members and have a good time.
Check your event to see who is coming to your event.

Click the following link and go to you event: http://[host][object_link]

[footer]"

# notify_sesevent_joined_remind
"_EMAIL_NOTIFY_SESEVENT_JOINED_REMIND_TITLE";"event about to start for user participant"
"_EMAIL_NOTIFY_SESEVENT_JOINED_REMIND_DESCRIPTION";"event about to start for user participant"
"_EMAIL_NOTIFY_SESEVENT_JOINED_REMIND_SUBJECT";"event about to start for user participant"
"_EMAIL_NOTIFY_SESEVENT_JOINED_REMIND_BODY";"[header]

Hi [recipient_title], Hello User, the event you joined is about to start.
Check the event to see who is coming to the event. have a good time.

Click the following link and go to you event: http://[host][object_link]

[footer]"

# notify_sesevent_fav_almost_full
"_EMAIL_NOTIFY_SESEVENT_FAV_ALMOST_FULL_TITLE";"favorite event is almost full"
"_EMAIL_NOTIFY_SESEVENT_FAV_ALMOST_FULL_DESCRIPTION";"Your event favorite event is almost full."
"_EMAIL_NOTIFY_SESEVENT_FAV_ALMOST_FULL_SUBJECT";"favorite event is almost full"
"_EMAIL_NOTIFY_SESEVENT_FAV_ALMOST_FULL_BODY";"[header]

Hi [recipient_title], Hello User, the event you favorite is almost full.
Check the event to see who is coming and join the event.

Click the following link and go to you event: http://[host][object_link]

[footer]"

"Let us find events for you, Free.";"Let us find events for you, Free."
"What are you planning?";"What are you planning?"
"Select Category";"Select Category"
"Everyone''s Events";"Everyone''s Events"
"Only My Friend''s Events";"Only My Friend''s Events"
"Ongoing Events";"Ongoing Events"
"Past Events";"Past Events"
"This Week";"This Week"
"This Weekends";"This Weekends"
"Upcomming Events";"Upcomming Events"
"This Month";"This Month"

"SES - Advanced Events Plugin";"Events"

"You have %s times remain to change event title.";"You have %s times remain to change event title."
"You can change title of event maximum %s time.";"You can change title of event maximum %s time."
"Please select region";"Please select region"
"ACTIVITY_TYPE_SESEVENT_FAV_ALMOST_FULL";"When event that you're favorite is almost full"
"ACTIVITY_TYPE_SESEVENT_JOINED_REMIND";"Remind before 24h of start time of event that you have joined"
"ACTIVITY_TYPE_SESEVENT_ORGANIZER_REMIND";"Remind before 24h of start time of event that you are host"
